Location,Property Type,Bedrooms,Bathrooms,Size_m2,Amenities,Price_KES,Listing_Date
Kilimani,1 Bedroom Apartment / Flat,10,500.0,28,,10500000,2026-02-17
Westlands,5 Bedroom Apartment / Flat,35,0.0,265,,35000000,2026-02-17
Westlands,3 Bedroom Apartment / Flat,24,610.0,160,,24610000,2026-02-17
Westlands,4 Bedroom Townhouse,31,0.0,213,,31000000,2026-02-17
Westlands,2 Bedroom Apartment / Flat,12,600.0,94,,12600000,2026-02-17
Runda,4 Bedroom House,53,0.0,350,,53000000,2026-02-17
Westlands,1 Bedroom Apartment / Flat,8,100.0,55,,8100000,2026-02-17
Westlands,3 Bedroom Apartment / Flat,24,400.0,160,,24400000,2026-02-17
Kileleshwa,4 Bedroom Apartment / Flat,24,500.0,270,,24500000,2026-02-17
Westlands,1 Bedroom Apartment / Flat,6,440.0,52,,6440000,2026-02-17
Spring Valley,3 Bedroom Apartment / Flat,23,100.0,4,,23100000,2026-02-17
Westlands,1 Bedroom Apartment / Flat,5,800.0,41,,5800000,2026-02-17
Westlands,1 Bedroom Apartment / Flat,8,800.0,70,,8800000,2026-02-17
Westlands,1 Bedroom Apartment / Flat,5,880.0,41,,5880000,2026-02-17
Westlands,2 Bedroom Apartment / Flat,13,0.0,114,,13000000,2026-02-17
Kiambu Road,4 Bedroom House,35,0.0,300,,35000000,2026-02-17
Runda,4 Bedroom House,35,0.0,300,,35000000,2026-02-17
Westlands,1 Bedroom Apartment / Flat,9,200.0,70,,9200000,2026-02-17
Westlands,1 Bedroom Apartment / Flat,6,800.0,56,,6800000,2026-02-17
Kilimani,2 Bedroom Apartment / Flat,14,700.0,117,,14700000,2026-02-17
Kileleshwa,2 Bedroom Apartment / Flat,9,0.0,110,,9000000,2026-02-17
Lavington,5 Bedroom House,69,0.0,400,,69000000,2026-02-17
Lavington,5 Bedroom Townhouse,69,0.0,400,,69000000,2026-02-17
Kilimani,3 Bedroom Apartment / Flat,17,800.0,160,,17800000,2026-02-17
Kileleshwa,3 Bedroom Apartment / Flat,12,500.0,136,,12500000,2026-02-17
Riverside,2 Bedroom Apartment / Flat,28,0.0,49,,28000000,2026-02-17
Lavington,5 Bedroom Townhouse,70,0.0,450,,70000000,2026-02-17
Lavington,5 Bedroom Townhouse,220,0.0,900,,220000000,2026-02-17
Lavington,5 Bedroom House,220,0.0,900,,220000000,2026-02-17
Westlands,2 Bedroom Apartment / Flat,16,450.0,145,,16450000,2026-02-17
Westlands,2 Bedroom Apartment / Flat,15,150.0,135,,15150000,2026-02-17
Westlands,2 Bedroom Apartment / Flat,14,450.0,130,,14450000,2026-02-17
Westlands,3 Bedroom Apartment / Flat,23,0.0,185,,23000000,2026-02-17
Westlands,4 Bedroom Apartment / Flat,32,900.0,352,,32900000,2026-02-17
Westlands,3 Bedroom Apartment / Flat,22,550.0,198,,22550000,2026-02-17
Kilimani,2 Bedroom Apartment / Flat,15,600.0,122,,15600000,2026-02-17
Lavington,5 Bedroom Townhouse,125,0.0,630,,125000000,2026-02-17
Kileleshwa,1 Bedroom Apartment / Flat,7,0.0,66,,7000000,2026-02-17
Kileleshwa,1 Bedroom Apartment / Flat,6,900.0,65,,6900000,2026-02-17
Westlands,2 Bedroom Apartment / Flat,13,0.0,101,,13000000,2026-02-17
Muthangari,3 Bedroom Apartment / Flat,27,790.0,161,,27790000,2026-02-17
Westlands,3 Bedroom Apartment / Flat,19,0.0,140,,19000000,2026-02-17
Westlands,2 Bedroom Apartment / Flat,12,844.0,104,,12844000,2026-02-17
Kitisuru,4 Bedroom Townhouse,60,0.0,3,,60000000,2026-02-17
