Location,Property Type,Bedrooms,Bathrooms,Size (sqm),Amenities,Price (KES),Listing Date,size_sqft,price_per_sqft,amenity_score,month,year,log_price
lavington,Apartment,3.0,2.0,91.0,"3 Bed, 3 Bed Apartment with En Suite in Lavington, Aircon, Alarm, Apartments, Apartments for sale in Lavington, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lavington, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",9000000,2026-02-18,979.5149,9188.221639099109,33,2,2026,16.012735135300492
westlands area,Apartment,1.0,1.0,56.0,"2 Bed, 2 Bed Apartment with En Suite in Westlands Area, Aircon, Alarm, Apartments, Apartments for sale in Westlands, Apartments for sale in Westlands Area, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Westlands, Westlands Area, Wheelchair Access",7000000,2026-02-20,602.7783999999999,11612.89123830582,35,2,2026,15.761420707019587
kilimani,Apartment,4.0,4.0,84.89473684210526,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",13500000,2026-02-20,913.7984578947368,14773.498339121848,25,2,2026,16.41820024340866
lavington,Apartment,1.0,2.0,61.0,"Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Golf Course, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Shopping Centre, Swimming Pool, Wheelchair Access",6700000,2026-02-20,656.5979,10204.114268412983,24,2,2026,15.717618084361195
kileleshwa,Apartment,3.0,2.0,85.0,"3 Bed, 3 Bed Apartment with En Suite in Kileleshwa, Aircon, Alarm, Apartments, Apartments for sale in Kileleshwa, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kileleshwa, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",9000000,2026-02-20,914.9314999999999,9836.801990094342,33,2,2026,16.012735135300492
westlands area,Apartment,3.0,2.0,113.0,"3 Bed, 3 Bed Apartment with En Suite in Westlands Area, Aircon, Alarm, Apartments, Apartments for sale in Westlands, Apartments for sale in Westlands Area, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Westlands, Westlands Area, Wheelchair Access",12000000,2026-02-20,1216.3207,9865.819105109367,35,2,2026,16.300417207752275
lavington,Apartment,4.0,5.0,284.94117647058823,"4 Bed Apartment with En Suite in Lavington, 4+ Bed, Aircon, Alarm, Apartments, Apartments for sale in Lavington, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lavington, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet, Wheelchair Access",13000000,2026-02-20,3067.0783294117646,4238.56145939816,34,2,2026,16.38045991542581
kileleshwa,Apartment,4.0,4.0,146.0625,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",13500000,2026-02-20,1572.20214375,8586.682096616369,25,2,2026,16.41820024340866
kilimani,Apartment,4.0,4.0,130.0,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",13500000,2026-02-20,1399.307,9647.632721054064,25,2,2026,16.41820024340866
kilimani,Apartment,2.0,2.0,59.0,"2 Bed, 2 Bed Apartment with En Suite in Kilimani, Aircon, Alarm, Apartments, Apartments for sale in Kilimani, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kilimani, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",6000000,2026-02-20,635.0701,9447.77592268948,33,2,2026,15.60727002719233
kileleshwa,Apartment,1.0,1.0,48.0,"1 Bed, 1 Bed Apartment with En Suite in Kileleshwa, Aircon, Alarm, Apartments, Apartments for sale in Kileleshwa, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kileleshwa, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",4000000,2026-02-20,516.6672,7741.927492203879,33,2,2026,15.201804919084164
kilimani,Apartment,4.0,4.0,135.0,"4 Bed Apartment with En Suite in Kilimani, 4+ Bed, Aircon, Alarm, Apartments, Apartments for sale in Kilimani, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kilimani, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",13000000,2026-02-19,1453.1264999999999,8946.227324324484,33,2,2026,16.38045991542581
westlands area,Apartment,3.0,2.0,90.0,"3 Bed, 3 Bed Apartment with En Suite in Westlands Area, Aircon, Alarm, Apartments, Apartments for sale in Westlands, Apartments for sale in Westlands Area, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Westlands, Westlands Area, Wheelchair Access",12000000,2026-02-19,968.751,12387.083987526206,35,2,2026,16.300417207752275
westlands area,Apartment,1.0,1.0,69.0,"Alarm, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Shopping Centre, Swimming Pool, Wheelchair Access",7622000,2026-01-31,742.7090999999999,10262.429799230951,20,1,2026,15.846549360415942
lavington,Apartment,3.0,2.0,85.0,"3 Bed, 3 Bed Apartment with En Suite in Lavington, Aircon, Alarm, Apartments, Apartments for sale in Lavington, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lavington, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",9000000,2026-02-19,914.9314999999999,9836.801990094342,33,2,2026,16.012735135300492
kilimani,Apartment,2.0,1.0,60.0,"Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, Fibre Internet, Garden, Golf Course, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Shopping Centre, Swimming Pool, Wheelchair Access",6800000,2026-02-19,645.834,10529.021389397276,23,2,2026,15.732433170146335
kilimani,Apartment,3.0,3.0,106.0,"3 Bed, 3 Bed Apartment with En Suite in Kilimani, Aircon, Alarm, Apartments, Apartments for sale in Kilimani, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kilimani, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",9000000,2026-02-19,1140.9733999999999,7888.001595830368,33,2,2026,16.012735135300492
lavington,Apartment,4.0,5.0,284.94117647058823,"4 Bed Apartment with En Suite in Lavington, 4+ Bed, Aircon, Alarm, Apartments, Apartments for sale in Lavington, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lavington, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet, Wheelchair Access",13000000,2026-02-19,3067.0783294117646,4238.56145939816,34,2,2026,16.38045991542581
kileleshwa,Apartment,1.0,1.0,63.0,"2 Bed, 2 Bed Apartment with En Suite in Kileleshwa, Aircon, Alarm, Apartments, Apartments for sale in Kileleshwa, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kileleshwa, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",6000000,2026-02-19,678.1256999999999,8847.91713394729,33,2,2026,15.60727002719233
westlands area,Apartment,1.0,1.0,55.0,"1 Bed, 1 Bed Apartment with En Suite in Westlands Area, Aircon, Alarm, Apartments, Apartments for sale in Westlands, Apartments for sale in Westlands Area, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Westlands, Westlands Area, Wheelchair Access",4500000,2026-02-19,592.0145,7601.165174163809,35,2,2026,15.319587954740548
westlands area,Apartment,3.0,3.0,105.0,"3 Bed, 3 Bed Apartment with En Suite in Westlands Area, Aircon, Alarm, Apartments, Apartments for sale in Westlands, Apartments for sale in Westlands Area, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Westlands, Westlands Area, Wheelchair Access",12000000,2026-02-19,1130.2095,10617.50056073675,35,2,2026,16.300417207752275
kilimani,Apartment,4.0,4.0,110.0,"4 Bed Apartment with En Suite in Kilimani, 4+ Bed, Aircon, Alarm, Apartments, Apartments for sale in Kilimani, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kilimani, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",13000000,2026-02-19,1184.029,10979.4608071255,33,2,2026,16.38045991542581
lavington,Apartment,3.0,3.0,86.0,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",9000000,2026-02-19,925.6954,9722.420571604873,25,2,2026,16.012735135300492
westlands area,Apartment,1.0,1.0,113.33333333333333,"1 Bed, 1 Bed Apartment with En Suite in Westlands Area, Aircon, Alarm, Apartments, Apartments for sale in Westlands, Apartments for sale in Westlands Area, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Westlands, Westlands Area, Wheelchair Access",4000000,2026-02-19,1219.9086666666665,3278.933996698114,35,2,2026,15.201804919084164
westlands area,Apartment,2.0,1.0,58.0,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",7000000,2026-02-19,624.3062,11212.446712846997,25,2,2026,15.761420707019587
kileleshwa,Apartment,4.0,5.0,125.0,"Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Golf Course, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Shopping Centre, Swimming Pool, Wheelchair Access",13800000,2026-02-19,1345.4875,10256.505541671699,24,2,2026,16.440179150127435
westlands area,Apartment,2.0,1.0,56.0,"2 Bed, 2 Bed Apartment with En Suite in Westlands Area, Aircon, Alarm, Apartments, Apartments for sale in Westlands, Apartments for sale in Westlands Area, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Westlands, Westlands Area, Wheelchair Access",7000000,2026-02-19,602.7783999999999,11612.89123830582,35,2,2026,15.761420707019587
lavington,Apartment,2.0,1.0,284.94117647058823,"2 Bed, 2 Bed Apartment with En Suite in Lavington, Aircon, Alarm, Apartments, Apartments for sale in Lavington, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lavington, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",6000000,2026-02-19,3067.0783294117646,1956.2591351068431,33,2,2026,15.60727002719233
kilimani,Apartment,3.0,3.0,88.0,"3 Bed, 3 Bed Apartment with En Suite in Kilimani, Aircon, Alarm, Apartments, Apartments for sale in Kilimani, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kilimani, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",9000000,2026-02-18,947.2231999999999,9501.456467704762,33,2,2026,16.012735135300492
lavington,Apartment,4.0,4.0,284.94117647058823,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",13500000,2026-02-19,3067.0783294117646,4401.583053990397,25,2,2026,16.41820024340866
kilimani,Apartment,2.0,2.0,84.89473684210526,"2 Bed, 2 Bed Apartment with En Suite in Kilimani, Aircon, Alarm, Apartments, Apartments for sale in Kilimani, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kilimani, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",6000000,2026-02-19,913.7984578947368,6565.999261831933,33,2,2026,15.60727002719233
lavington,Apartment,3.0,3.0,110.0,"Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Golf Course, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Sea View, Shopping Centre, Swimming Pool, Wheelchair Access",11000000,2026-02-18,1184.029,9290.312990644656,25,2,2026,16.213405830762646
westlands area,Apartment,1.0,1.0,113.33333333333333,"1 Bed, 1 Bed Apartment with En Suite in Westlands Area, Aircon, Alarm, Apartments, Apartments for sale in Westlands, Apartments for sale in Westlands Area, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Westlands, Westlands Area, Wheelchair Access",4000000,2026-02-18,1219.9086666666665,3278.933996698114,35,2,2026,15.201804919084164
kilimani,Apartment,2.0,3.0,106.0,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",9000000,2026-02-19,1140.9733999999999,7888.001595830368,25,2,2026,16.012735135300492
kilimani,Apartment,2.0,2.0,59.0,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",6000000,2026-02-19,635.0701,9447.77592268948,25,2,2026,15.60727002719233
lavington,Apartment,3.0,4.0,160.0,"Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Golf Course, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Shopping Centre, Swimming Pool, Wheelchair Access",18000000,2026-02-19,1722.224,10451.602114475238,24,2,2026,16.70588231586044
kileleshwa,Apartment,2.0,1.0,55.0,"2 Bed, 2 Bed Apartment with En Suite in Kileleshwa, Aircon, Alarm, Apartments, Apartments for sale in Kileleshwa, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kileleshwa, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",6000000,2026-02-19,592.0145,10134.886898885077,33,2,2026,15.60727002719233
westlands area,Apartment,2.0,1.0,105.0,"3 Bed, 3 Bed Apartment with En Suite in Westlands Area, Aircon, Alarm, Apartments, Apartments for sale in Westlands, Apartments for sale in Westlands Area, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Westlands, Westlands Area, Wheelchair Access",12000000,2026-02-19,1130.2095,10617.50056073675,35,2,2026,16.300417207752275
kileleshwa,Apartment,1.0,1.0,146.0625,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",3000000,2026-02-19,1572.20214375,1908.1515770258598,25,2,2026,14.914122846632385
kilimani,Apartment,1.0,1.0,84.89473684210526,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",3000000,2026-02-19,913.7984578947368,3282.9996309159665,25,2,2026,14.914122846632385
kilimani,Apartment,4.0,4.0,84.89473684210526,"4 Bed Apartment with En Suite in Kilimani, 4+ Bed, Aircon, Alarm, Apartments, Apartments for sale in Kilimani, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kilimani, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",13000000,2026-02-19,913.7984578947368,14226.331733969188,33,2,2026,16.38045991542581
kileleshwa,Apartment,2.0,2.0,73.0,"2 Bed, 2 Bed Apartment with En Suite in Kileleshwa, Aircon, Alarm, Apartments, Apartments for sale in Kileleshwa, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kileleshwa, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",6000000,2026-02-18,785.7647,7635.873690940813,33,2,2026,15.60727002719233
lavington,Apartment,4.0,4.0,284.94117647058823,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet, Wheelchair Access",13000000,2026-02-18,3067.0783294117646,4238.56145939816,27,2,2026,16.38045991542581
kilimani,Apartment,1.0,1.0,84.89473684210526,"1 Bed, 1 Bed Apartment with En Suite in Kilimani, Aircon, Alarm, Apartments, Apartments for sale in Kilimani, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kilimani, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",3000000,2026-02-19,913.7984578947368,3282.9996309159665,33,2,2026,14.914122846632385
kilimani,Apartment,3.0,3.0,106.0,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",9000000,2026-02-19,1140.9733999999999,7888.001595830368,25,2,2026,16.012735135300492
westlands area,Apartment,1.0,1.0,113.33333333333333,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",4000000,2026-02-19,1219.9086666666665,3278.933996698114,25,2,2026,15.201804919084164
kileleshwa,Apartment,1.0,1.0,146.0625,"1 Bed, 1 Bed Apartment with En Suite in Kileleshwa, Aircon, Alarm, Apartments, Apartments for sale in Kileleshwa, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Kileleshwa, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",3000000,2026-02-18,1572.20214375,1908.1515770258598,33,2,2026,14.914122846632385
westlands area,Apartment,1.0,1.0,57.0,"Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, Fibre Internet, Garden, Golf Course, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Shopping Centre, Swimming Pool, Wheelchair Access",7500000,2026-02-19,613.5423,12224.096040321916,23,2,2026,15.830413578506539
lavington,Apartment,1.0,1.0,284.94117647058823,"1 Bed, 1 Bed Apartment with En Suite in Lavington, Aircon, Alarm, Apartments, Apartments for sale in Lavington, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lavington, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",3000000,2026-02-18,3067.0783294117646,978.1295675534216,33,2,2026,14.914122846632385
lavington,Apartment,3.0,3.0,284.94117647058823,"3 Bed, 3 Bed Apartment with En Suite in Lavington, Aircon, Alarm, Apartments, Apartments for sale in Lavington, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lavington, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Wheelchair Access",9000000,2026-02-18,3067.0783294117646,2934.3887026602647,33,2,2026,16.012735135300492
westlands area,Apartment,2.0,2.0,90.0,"3 Bed, 3 Bed Apartment with En Suite in Westlands Area, Aircon, Alarm, Apartments, Apartments for sale in Westlands, Apartments for sale in Westlands Area, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nairobi, Nearby, Parking, Pet Friendly, Sale, Scenic View, School, Service Charge Included, Shopping Centre, Swimming Pool, Walk In Closet, Westlands, Westlands Area, Wheelchair Access",12000000,2026-02-18,968.751,12387.083987526206,35,2,2026,16.300417207752275
kilimani,Apartment,2.0,2.0,65.0,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",6000000,2026-02-18,699.6535,8575.673529825835,25,2,2026,15.60727002719233
lavington,Apartment,4.0,5.0,284.94117647058823,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gym, Hospital, Kids Play Area, Lift/Elevator, Nearby, Parking, Pet Friendly, Scenic View, School, Service Charge Included, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet, Wheelchair Access",13000000,2026-02-18,3067.0783294117646,4238.56145939816,27,2,2026,16.38045991542581
